fournisseur,categorie,volume_annuel,duree_accord,taux_service,part_marque_nationale,exercice,negociateur,taux_remise
F0001,E,119770.0,12,0.914,0.028,2025,N11,27.97
F0002,E,6085.0,12,0.938,0.027,2024,N24,24.51
F0003,E,28985.0,12,0.96,0.168,2026,N22,28.19
F0004,E,256159.0,36,1.0,0.091,2024,N39,31.93
F0005,A,25764.0,36,0.885,0.297,2024,N24,27.67
F0006,E,102012.0,12,0.899,0.195,2025,N07,30.26
F0007,E,13890.0,36,0.881,0.299,2024,N33,26.98
F0008,B,42709.0,24,0.891,0.115,2026,N37,24.68
F0009,A,553756.0,36,0.91,0.811,2025,N26,34.56
F0010,A,118531.0,24,0.925,0.321,2024,N21,30.5
F0011,D,31476.0,24,0.992,0.645,2025,N04,28.48
F0012,E,41265.0,12,0.908,0.438,2024,N13,31.15
F0013,D,11659.0,36,0.95,0.4,2026,N20,25.06
F0014,D,151306.0,12,0.926,0.824,2026,N16,29.18
F0015,D,65132.0,24,0.865,0.463,2025,N32,28.85
F0016,A,206909.0,12,0.994,0.624,2024,N30,32.24
F0017,E,222052.0,12,0.985,0.306,2026,N38,33.11
F0018,E,60372.0,24,0.939,0.161,2024,N36,29.3
F0019,A,27441.0,12,0.923,0.34,2026,N04,27.46
F0020,E,20224.0,24,0.943,0.557,2025,N16,27.57
F0021,E,52511.0,36,0.972,0.188,2024,N33,27.69
F0022,B,86269.0,36,0.905,0.583,2025,N33,29.75
F0023,C,435592.0,36,0.908,0.385,2024,N25,33.14
F0024,E,27012.0,24,0.958,0.575,2025,N29,26.62
F0025,E,143855.0,12,0.889,0.708,2024,N15,31.39
F0026,A,24115.0,24,0.869,0.275,2026,N27,26.59
F0027,D,41969.0,12,0.95,0.641,2025,N25,28.16
F0028,C,209983.0,24,0.912,0.508,2026,N08,32.08
F0029,B,154277.0,24,0.86,0.699,2026,N28,33.32
F0030,E,44130.0,36,0.999,0.824,2026,N10,27.93
F0031,D,38346.0,12,0.954,0.756,2025,N18,29.72
F0032,C,309473.0,36,0.881,0.484,2025,N22,31.79
F0033,E,66985.0,12,0.866,0.235,2026,N32,28.92
F0034,C,57568.0,24,0.9,0.306,2025,N08,30.18
F0035,E,23569.0,24,0.921,0.588,2024,N06,28.34
