client_id,anciennete_mois,nb_achats_12m,ca_12m,panier_moyen,marge_12m,nb_visites_90j,nb_contacts_service,recence_jours,remise_moyenne,satisfaction_10,nb_categories,canal_principal,region,churn_90j
1,37,3,86.02,28.67,19.81,0,1,141,0.126,10.0,4,web,B,0
2,13,1,15.6,15.6,4.27,0,1,900,0.117,8.0,1,web,A,0
3,44,11,316.08,28.73,98.64,2,0,59,0.294,7.0,2,magasin,D,0
4,63,2,35.91,17.95,9.81,5,0,82,0.335,9.0,4,web,D,0
5,6,0,0.0,0.0,0.0,0,4,900,0.165,6.0,1,magasin,E,0
6,17,2,53.01,26.5,18.68,2,0,226,0.029,7.0,1,web,A,0
7,81,6,343.05,57.18,128.01,3,1,59,0.019,9.0,2,mixte,E,0
8,52,2,21.6,10.8,4.44,2,0,276,0.362,7.0,2,web,E,0
9,27,4,70.38,17.6,17.12,1,0,113,0.255,6.0,2,web,A,0
10,6,0,0.0,0.0,0.0,0,2,900,0.166,5.0,3,mixte,E,0
11,45,4,404.32,101.08,164.93,2,1,201,0.019,6.0,3,web,E,0
12,96,9,340.64,37.85,123.42,5,3,1,0.506,3.0,4,mixte,B,0
13,36,9,510.08,56.68,150.08,3,3,28,0.054,7.0,1,web,E,0
14,48,14,603.95,43.14,197.43,4,0,105,0.061,8.0,1,web,C,0
15,40,8,616.93,77.12,281.14,5,0,10,0.117,10.0,1,web,A,0
16,40,0,0.0,0.0,0.0,0,0,205,0.255,6.0,1,web,E,0
17,38,7,156.82,22.4,46.83,6,1,32,0.065,7.0,1,web,A,0
18,35,1,22.29,22.29,5.74,0,0,48,0.329,9.0,1,mixte,A,0
19,55,17,1350.19,79.42,466.65,5,0,19,0.269,8.0,1,web,A,0
20,54,5,152.27,30.45,44.88,3,0,16,0.192,9.0,1,web,D,0
21,44,0,0.0,0.0,0.0,0,2,746,0.136,5.0,1,web,B,1
22,11,4,40.56,10.14,7.67,2,1,40,0.248,8.0,1,mixte,E,0
23,28,12,766.97,63.91,266.66,7,0,79,0.393,10.0,2,web,B,0
