compte_id,canal_acquisition,taille_entreprise,pays,date_inscription
C000001,referral,11-50,FR,2026-05-10 00:00:00
C000002,direct,11-50,FR,2026-02-08 00:00:00
C000003,seo,11-50,FR,2026-05-31 00:00:00
C000004,direct,1-10,FR,2026-04-18 00:00:00
C000005,sea,200+,CH,2026-01-19 00:00:00
C000006,referral,51-200,FR,2026-01-10 00:00:00
C000007,referral,11-50,FR,2026-05-13 00:00:00
C000008,sea,51-200,CA,2026-07-12 00:00:00
C000009,direct,11-50,FR,2026-05-24 00:00:00
C000010,seo,11-50,FR,2026-05-13 00:00:00
C000011,sea,1-10,FR,2026-06-30 00:00:00
C000012,sea,11-50,BE,2026-06-30 00:00:00
C000013,referral,51-200,BE,2026-01-02 00:00:00
C000014,sea,51-200,FR,2026-02-24 00:00:00
C000015,seo,51-200,FR,2026-02-23 00:00:00
C000016,seo,51-200,FR,2026-01-12 00:00:00
C000017,seo,11-50,FR,2026-03-21 00:00:00
C000018,seo,11-50,FR,2026-06-10 00:00:00
C000019,seo,51-200,BE,2026-07-06 00:00:00
C000020,direct,1-10,FR,2026-04-30 00:00:00
C000021,seo,1-10,FR,2026-03-07 00:00:00
C000022,referral,11-50,FR,2026-02-17 00:00:00
C000023,direct,1-10,FR,2026-06-13 00:00:00
C000024,seo,200+,CA,2026-06-02 00:00:00
C000025,sea,11-50,CH,2026-01-18 00:00:00
C000026,sea,11-50,FR,2026-06-19 00:00:00
C000027,sea,51-200,CH,2026-01-08 00:00:00
C000028,direct,51-200,FR,2026-04-04 00:00:00
C000029,seo,51-200,CH,2026-07-05 00:00:00
C000030,direct,11-50,BE,2026-07-07 00:00:00
C000031,direct,51-200,FR,2026-02-11 00:00:00
C000032,direct,1-10,CA,2026-04-03 00:00:00
C000033,seo,51-200,FR,2026-01-30 00:00:00
C000034,sea,200+,FR,2026-04-05 00:00:00
C000035,referral,51-200,FR,2026-03-24 00:00:00
C000036,sea,1-10,FR,2026-03-17 00:00:00
C000037,referral,11-50,FR,2026-03-16 00:00:00
C000038,referral,1-10,FR,2026-01-07 00:00:00
C000039,referral,11-50,FR,2026-04-23 00:00:00
C000040,seo,200+,FR,2026-02-01 00:00:00
C000041,direct,1-10,FR,2026-07-19 00:00:00
C000042,referral,1-10,FR,2026-04-18 00:00:00
C000043,direct,51-200,FR,2026-05-17 00:00:00
C000044,sea,200+,FR,2026-01-18 00:00:00
C000045,sea,11-50,BE,2026-03-25 00:00:00
C000046,direct,11-50,FR,2026-06-10 00:00:00
C000047,seo,1-10,FR,2026-02-05 00:00:00
C000048,seo,1-10,CH,2026-03-01 00:00:00
C000049,sea,1-10,CH,2026-02-28 00:00:00
C000050,referral,51-200,CH,2026-01-13 00:00:00
C000051,seo,200+,FR,2026-04-10 00:00:00
C000052,direct,11-50,CA,2026-04-21 00:00:00
C000053,sea,51-200,FR,2026-04-17 00:00:00
C000054,seo,200+,FR,2026-05-06 00:00:00
C000055,referral,1-10,CA,2026-02-16 00:00:00
C000056,direct,1-10,FR,2026-03-17 00:00:00
