compte_id,date_conversion
C000008,2026-05-01
C000012,2026-05-01
C000037,2026-05-01
C000048,2026-05-01
C000050,2026-05-01
C000056,2026-05-01
C000060,2026-05-01
C000061,2026-05-01
C000096,2026-05-01
C000099,2026-05-01
C000102,2026-05-01
C000105,2026-05-01
C000107,2026-05-01
C000109,2026-05-01
C000115,2026-05-01
C000122,2026-05-01
C000124,2026-05-01
C000128,2026-05-01
C000133,2026-05-01
C000136,2026-05-01
C000166,2026-05-01
C000176,2026-05-01
C000205,2026-05-01
C000213,2026-05-01
C000215,2026-05-01
C000221,2026-05-01
C000225,2026-05-01
C000226,2026-05-01
C000242,2026-05-01
C000249,2026-05-01
C000250,2026-05-01
C000252,2026-05-01
C000268,2026-05-01
C000274,2026-05-01
C000278,2026-05-01
C000288,2026-05-01
C000293,2026-05-01
C000295,2026-05-01
C000297,2026-05-01
C000298,2026-05-01
C000305,2026-05-01
C000306,2026-05-01
C000327,2026-05-01
C000349,2026-05-01
C000350,2026-05-01
C000354,2026-05-01
C000363,2026-05-01
C000380,2026-05-01
C000389,2026-05-01
C000398,2026-05-01
C000400,2026-05-01
C000409,2026-05-01
C000414,2026-05-01
C000435,2026-05-01
C000456,2026-05-01
C000467,2026-05-01
C000487,2026-05-01
C000489,2026-05-01
C000495,2026-05-01
C000498,2026-05-01
C000504,2026-05-01
C000507,2026-05-01
C000508,2026-05-01
C000524,2026-05-01
C000526,2026-05-01
C000528,2026-05-01
C000548,2026-05-01
C000551,2026-05-01
C000556,2026-05-01
C000561,2026-05-01
C000569,2026-05-01
C000582,2026-05-01
C000583,2026-05-01
C000586,2026-05-01
C000594,2026-05-01
C000608,2026-05-01
C000620,2026-05-01
C000626,2026-05-01
C000627,2026-05-01
C000632,2026-05-01
C000641,2026-05-01
C000650,2026-05-01
C000652,2026-05-01
C000667,2026-05-01
C000679,2026-05-01
C000688,2026-05-01
C000691,2026-05-01
C000692,2026-05-01
C000709,2026-05-01
C000723,2026-05-01
C000741,2026-05-01
C000743,2026-05-01
C000754,2026-05-01
C000763,2026-05-01
C000764,2026-05-01
C000765,2026-05-01
C000770,2026-05-01
C000775,2026-05-01
C000779,2026-05-01
C000786,2026-05-01
C000790,2026-05-01
C000807,2026-05-01
C000810,2026-05-01
C000815,2026-05-01
C000823,2026-05-01
C000853,2026-05-01
C000861,2026-05-01
C000867,2026-05-01
C000882,2026-05-01
C000884,2026-05-01
C000889,2026-05-01
C000892,2026-05-01
C000895,2026-05-01
C000897,2026-05-01
C000901,2026-05-01
C000907,2026-05-01
C000917,2026-05-01
C000926,2026-05-01
C000939,2026-05-01
C000956,2026-05-01
C000961,2026-05-01
C000973,2026-05-01
