reference,fournisseur,couleur,matiere,motif,saison,col,finition,style,usage
REF00001,F000,bleu,coton,raye,mi-saison,rond,premium,sportif,sport
REF00002,F001,vert,laine,raye,hiver,rond,standard,sportif,ville
REF00003,F002,vert,laine,uni,mi-saison,v,standard,chic,sport
REF00004,F003,bleu,lin,imprime,mi-saison,montant,premium,sportif,sport
REF00005,F004,noir,coton,imprime,ete,rond,premium,classique,sport
REF00006,F005,vert,synthetique,uni,ete,montant,standard,chic,ville
REF00007,F006,bleu,synthetique,imprime,ete,montant,standard,sportif,sport
REF00008,F007,bleu,lin,raye,hiver,montant,standard,classique,soiree
REF00009,F008,bleu,lin,imprime,hiver,rond,premium,chic,sport
REF00010,F009,noir,laine,raye,mi-saison,v,premium,chic,soiree
REF00011,F010,bleu,laine,raye,hiver,v,premium,chic,ville
REF00012,F011,rouge,lin,imprime,hiver,montant,standard,sportif,soiree
REF00013,F012,rouge,lin,uni,hiver,v,premium,chic,ville
REF00014,F013,vert,lin,imprime,mi-saison,rond,standard,chic,sport
REF00015,F014,bleu,lin,raye,hiver,montant,standard,classique,sport
REF00016,F015,noir,laine,imprime,mi-saison,rond,premium,chic,sport
REF00017,F016,bleu,lin,imprime,mi-saison,montant,premium,sportif,sport
REF00018,F017,rouge,lin,raye,ete,montant,standard,chic,ville
REF00019,F018,bleu,lin,imprime,hiver,v,standard,chic,sport
REF00020,F019,rouge,coton,raye,mi-saison,rond,standard,sportif,sport
REF00021,F020,noir,laine,imprime,mi-saison,rond,standard,classique,ville
REF00022,F021,bleu,laine,uni,mi-saison,montant,premium,chic,soiree
REF00023,F022,vert,coton,uni,hiver,v,standard,classique,ville
REF00024,F023,noir,coton,uni,mi-saison,rond,standard,sportif,soiree
REF00025,F024,bleu,lin,raye,hiver,montant,standard,sportif,soiree
REF00026,F025,vert,lin,raye,mi-saison,v,premium,chic,ville
REF00027,F026,noir,lin,imprime,ete,montant,standard,sportif,soiree
REF00028,F027,rouge,laine,uni,ete,v,premium,chic,sport
REF00029,F028,vert,laine,imprime,ete,rond,premium,sportif,sport
REF00030,F029,vert,laine,raye,mi-saison,rond,premium,sportif,ville
REF00031,F030,bleu,coton,uni,ete,rond,premium,sportif,ville
REF00032,F031,bleu,laine,uni,mi-saison,v,premium,chic,soiree
REF00033,F032,vert,coton,imprime,ete,montant,standard,chic,ville
REF00034,F033,noir,coton,uni,ete,v,standard,chic,ville
REF00035,F034,bleu,coton,uni,hiver,rond,standard,sportif,ville
REF00036,F035,vert,coton,raye,ete,rond,standard,chic,soiree
REF00037,F036,rouge,lin,imprime,ete,rond,premium,chic,soiree
REF00038,F037,vert,laine,imprime,ete,v,standard,chic,sport
REF00039,F038,rouge,coton,uni,hiver,rond,premium,sportif,soiree
REF00040,F039,vert,lin,raye,mi-saison,rond,premium,classique,soiree
REF00041,F040,noir,lin,uni,mi-saison,montant,standard,chic,soiree
REF00042,F041,vert,lin,uni,hiver,v,premium,chic,soiree
REF00043,F042,vert,coton,imprime,ete,v,standard,sportif,ville
REF00044,F043,rouge,laine,imprime,hiver,v,standard,classique,soiree
REF00045,F044,bleu,laine,imprime,hiver,montant,premium,chic,sport
REF00046,F045,bleu,lin,raye,hiver,rond,standard,sportif,ville
REF00047,F046,noir,synthetique,imprime,mi-saison,v,standard,chic,ville
REF00048,F047,noir,lin,imprime,hiver,rond,premium,chic,soiree
REF00049,F048,vert,laine,raye,hiver,v,premium,classique,sport
REF00050,F049,vert,laine,raye,hiver,v,standard,chic,ville
REF00051,F050,vert,synthetique,uni,hiver,v,standard,sportif,soiree
REF00052,F051,noir,coton,raye,ete,v,premium,chic,sport
REF00053,F052,bleu,lin,raye,ete,rond,standard,sportif,ville
REF00054,F053,vert,lin,uni,hiver,rond,premium,chic,ville
REF00055,F054,bleu,lin,raye,ete,v,premium,classique,sport
REF00056,F055,noir,laine,raye,ete,v,standard,sportif,soiree
REF00057,F056,noir,synthetique,uni,ete,montant,premium,sportif,ville
REF00058,F057,noir,coton,raye,hiver,v,standard,sportif,ville
REF00059,F058,rouge,lin,imprime,mi-saison,montant,premium,sportif,ville
REF00060,F059,vert,laine,raye,mi-saison,rond,premium,sportif,ville
REF00061,F060,noir,laine,raye,mi-saison,v,standard,chic,ville
REF00062,F061,vert,coton,raye,mi-saison,v,premium,classique,soiree
REF00063,F062,noir,synthetique,uni,ete,v,premium,sportif,sport
REF00064,F063,bleu,coton,raye,hiver,rond,premium,chic,ville
REF00065,F064,bleu,lin,raye,ete,montant,standard,chic,sport
REF00066,F065,bleu,coton,raye,ete,v,premium,classique,sport
REF00067,F066,vert,laine,imprime,hiver,montant,standard,classique,ville
REF00068,F067,noir,lin,raye,mi-saison,v,premium,classique,ville
REF00069,F068,vert,lin,imprime,hiver,montant,standard,chic,soiree
REF00070,F069,rouge,lin,imprime,ete,montant,standard,classique,sport
REF00071,F070,noir,coton,uni,hiver,v,standard,sportif,sport
REF00072,F071,bleu,coton,imprime,ete,v,standard,chic,soiree
REF00073,F072,noir,laine,imprime,mi-saison,montant,premium,chic,soiree
REF00074,F073,rouge,laine,imprime,hiver,rond,premium,sportif,ville
REF00075,F074,bleu,laine,imprime,mi-saison,rond,standard,classique,soiree
REF00076,F075,noir,laine,raye,mi-saison,v,standard,chic,ville
REF00077,F076,rouge,synthetique,imprime,ete,v,premium,classique,ville
REF00078,F077,bleu,coton,imprime,hiver,v,premium,classique,soiree
REF00079,F078,rouge,coton,uni,mi-saison,montant,standard,sportif,soiree
REF00080,F079,rouge,lin,imprime,ete,montant,premium,chic,sport
REF00081,F080,vert,laine,raye,ete,rond,standard,sportif,sport
REF00082,F081,vert,lin,imprime,hiver,v,standard,classique,sport
REF00083,F082,noir,lin,uni,hiver,v,standard,chic,ville
REF00084,F083,bleu,laine,imprime,mi-saison,rond,premium,classique,soiree
REF00085,F084,bleu,synthetique,uni,ete,rond,standard,chic,sport
REF00086,F085,vert,coton,raye,ete,rond,standard,classique,ville
REF00087,F086,noir,laine,raye,ete,rond,standard,classique,sport
REF00088,F087,vert,lin,imprime,ete,montant,premium,classique,soiree
REF00089,F088,rouge,lin,imprime,mi-saison,rond,premium,chic,soiree
REF00090,F089,bleu,laine,raye,hiver,montant,standard,classique,sport
