cohorte,n,gini,psi,pd_moyenne_predite,taux_defaut_observe,ecart_calibration,run_date
2024-01-01,7902,0.481,0.201,0.035,0.0311,0.0031,2024-01-01
2024-04-01,8717,0.435,0.226,0.0352,0.0438,0.0003,2024-04-01
2024-07-01,6353,0.504,0.238,0.0417,0.0312,0.004,2024-07-01
2024-10-01,4120,0.542,0.093,0.0474,0.0457,0.0033,2024-10-01
2025-01-01,6429,0.424,0.039,0.0371,0.033,0.0055,2025-01-01
2025-04-01,4739,0.45,0.052,0.0474,0.0279,-0.0013,2025-04-01
2025-07-01,4300,0.511,0.144,0.049,0.0293,0.0044,2025-07-01
2025-10-01,8335,0.446,0.152,0.031,0.0209,-0.009,2025-10-01
2026-01-01,5244,0.537,0.156,0.0361,0.0236,-0.0008,2026-01-01
2026-04-01,8381,0.545,0.141,0.0405,0.0254,-0.0018,2026-04-01
2026-07-01,6781,0.495,0.1,0.0272,0.0484,0.0012,2026-07-01
2026-10-01,7348,0.472,0.272,0.0234,0.0305,0.0018,2026-10-01
