"fournisseur","categorie","volume_annuel","duree_accord","taux_service","part_marque_nationale","exercice","negociateur","taux_remise","attendu","borne_basse","ecart","signale","enjeu_euros"
"F0001","E",119770,12,0.914,0.028,2025,"N11",27.97,28.8619167944067,26.896977636284,-0.891916794406715,FALSE,1068.24874466092
"F0002","E",6085,12,0.938,0.027,2024,"N24",24.51,24.130236117273,22.163788127226,0.379763882726991,FALSE,0
"F0003","E",28985,12,0.96,0.168,2026,"N22",28.19,27.0208629440175,25.0563033963026,1.1691370559825,FALSE,0
"F0004","E",256159,36,1,0.091,2024,"N39",31.93,30.9510852901526,28.9857753956123,0.978914709847434,FALSE,0
"F0005","A",25764,36,0.885,0.297,2024,"N24",27.67,27.6601093395478,25.6955119808841,0.00989066045224618,FALSE,0
"F0006","E",102012,12,0.899,0.195,2025,"N07",30.26,29.0459448582407,27.0816178836921,1.21405514175927,FALSE,0
"F0007","E",13890,36,0.881,0.299,2024,"N33",26.98,26.640647929718,24.6754817683289,0.339352070281976,FALSE,0
"F0008","B",42709,24,0.891,0.115,2026,"N37",24.68,27.6788048755707,25.7144069361133,-2.99880487557071,TRUE,1280.75957430749
"F0009","A",553756,36,0.91,0.811,2025,"N26",34.56,34.0682217999239,32.1025947511318,0.491778200076141,FALSE,0
"F0010","A",118531,24,0.925,0.321,2024,"N21",30.5,29.983051736931,28.0198581180409,0.516948263069004,FALSE,0
"F0011","D",31476,24,0.992,0.645,2025,"N04",28.48,28.9251907953086,26.9607402639937,-0.445190795308612,FALSE,140.128254731339
"F0012","E",41265,12,0.908,0.438,2024,"N13",31.15,28.295910318748,26.3318470984841,2.85408968125204,FALSE,0
"F0013","D",11659,36,0.95,0.4,2026,"N20",25.06,26.782633909004,24.8178964839924,-1.72263390900403,FALSE,200.84188745078
"F0014","D",151306,12,0.926,0.824,2026,"N16",29.18,31.5049964770904,29.5398916772769,-2.32499647709038,TRUE,3517.85916962637
"F0015","D",65132,24,0.865,0.463,2025,"N32",28.85,29.3380797438979,27.3740529541643,-0.488079743897913,FALSE,317.896098795589
"F0016","A",206909,12,0.994,0.624,2024,"N30",32.24,31.5926895198933,29.6281603686984,0.647310480106693,FALSE,0
"F0017","E",222052,12,0.985,0.306,2026,"N38",33.11,30.7186379338077,28.7543598638611,2.39136206619229,FALSE,0
"F0018","E",60372,24,0.939,0.161,2024,"N36",29.3,28.4510526888153,26.4873257542021,0.848947311184663,FALSE,0
"F0019","A",27441,12,0.923,0.34,2026,"N04",27.46,27.3743793873732,25.410291853732,0.0856206126268155,FALSE,0
"F0020","E",20224,24,0.943,0.557,2025,"N16",27.57,27.8199924762439,25.855870575032,-0.249992476243939,FALSE,50.5584783955743
"F0021","E",52511,36,0.972,0.188,2024,"N33",27.69,28.6315772827161,26.6671977408366,-0.941577282716057,FALSE,494.431646927029
"F0022","B",86269,36,0.905,0.583,2025,"N33",29.75,30.4619008737757,28.4978573381839,-0.711900873775715,FALSE,614.149764797571
"F0023","C",435592,36,0.908,0.385,2024,"N25",33.14,32.5718519898185,30.6076210522703,0.568148010181545,FALSE,0
"F0024","E",27012,24,0.958,0.575,2025,"N29",26.62,28.3627078401556,26.3986429508652,-1.74270784015556,FALSE,470.74024178282
"F0025","E",143855,12,0.889,0.708,2024,"N15",31.39,31.0199980259283,29.0550192809579,0.370001974071691,FALSE,0
"F0026","A",24115,24,0.869,0.275,2026,"N27",26.59,27.1479719256585,25.1833783579904,-0.55797192565851,FALSE,134.55492987255
"F0027","D",41969,12,0.95,0.641,2025,"N25",28.16,29.0297481148889,27.0654562023472,-0.86974811488885,FALSE,365.024586337701
"F0028","C",209983,24,0.912,0.508,2026,"N08",32.08,31.4421297865036,29.47872798844,0.637870213496441,FALSE,0
"F0029","B",154277,24,0.86,0.699,2026,"N28",33.32,31.3200309334322,29.3551410925965,1.99996906656777,FALSE,0
"F0030","E",44130,36,0.999,0.824,2026,"N10",27.93,30.1440354218088,28.1779192613129,-2.21403542180885,TRUE,977.053831644245
"F0031","D",38346,12,0.954,0.756,2025,"N18",29.72,29.2160273811579,27.2511183700716,0.503972618842138,FALSE,0
"F0032","C",309473,36,0.881,0.484,2025,"N22",31.79,32.2515587698368,30.2871880018534,-0.461558769836806,FALSE,1428.39977177706
"F0033","E",66985,12,0.866,0.235,2026,"N32",28.92,28.3734268264321,26.4086328284372,0.546573173567872,FALSE,0
"F0034","C",57568,24,0.9,0.306,2025,"N08",30.18,28.8265512557502,26.8629974835678,1.35344874424982,FALSE,0
"F0035","E",23569,24,0.921,0.588,2024,"N06",28.34,28.1105507138782,26.1464983425706,0.229449286121827,FALSE,0
