id,date_ref,anciennete_mois,facture_moy,evol_facture,appels_service,conso_data_go,engagement,promos_recues,churn_90j
A0162301,2025-09-01,32,18.48,0.222,0,19.5,1,2,0
A0017130,2025-09-01,10,38.8,-0.1,0,30.7,1,2,0
A0035888,2025-09-01,14,50.02,-0.108,1,20.1,0,2,0
A0047362,2025-09-01,34,34.83,0.21,0,3.2,0,3,0
A0036273,2025-09-01,37,14.95,0.023,1,7.6,0,1,0
A0160255,2025-09-01,59,42.5,0.101,3,42.6,1,1,0
A0173846,2025-09-01,89,33.8,-0.022,0,4.6,1,2,0
A0116432,2025-09-01,45,70.8,0.308,0,8.7,0,1,1
A0007880,2025-09-01,51,20.15,-0.024,1,27.1,1,2,0
A0018826,2025-09-01,23,22.52,-0.162,1,2.3,1,3,0
A0066440,2025-09-01,72,18.59,0.018,3,17.5,1,1,0
A0086625,2025-09-01,15,11.12,-0.142,1,16.2,1,0,0
A0124245,2025-09-01,83,37.24,0.017,0,4.3,0,0,0
A0095810,2025-09-01,29,19.65,-0.008,0,18.4,0,1,0
A0052958,2025-09-01,83,56.18,0.103,0,9.7,1,0,0
A0031948,2025-09-01,84,29.35,0.084,2,9.1,1,2,0
A0138283,2025-09-01,9,36.25,0.073,0,5.9,0,1,0
A0146915,2025-09-01,8,44.95,0.179,0,11.5,0,2,0
A0006538,2025-09-01,56,59.17,0.099,1,25.1,1,1,0
A0022735,2025-09-01,7,34.86,-0.145,0,2.9,1,2,0
A0090425,2025-09-01,21,15.15,-0.026,1,8.7,0,0,0
A0078246,2025-09-01,9,52.33,-0.061,1,18.3,1,1,0
A0177565,2025-09-01,40,15.58,0.435,1,1.9,0,0,0
A0103348,2025-09-01,53,10.38,0.193,2,1.7,1,1,0
A0084023,2025-09-01,86,22.69,0.088,1,5.3,1,1,0
A0086126,2025-09-01,3,25.23,-0.135,0,11.3,0,0,0
A0133267,2025-09-01,11,61.84,0.05,0,12.7,0,1,0
A0117360,2025-09-01,30,15.25,0.301,0,10.4,1,2,0
A0034567,2025-09-01,48,17.66,0.036,2,8.0,0,1,0
A0147567,2025-09-01,29,8.33,-0.079,0,19.0,1,0,0
A0151348,2025-09-01,7,10.15,0.148,0,10.2,1,2,0
A0191253,2025-09-01,41,57.0,-0.084,2,15.5,1,4,0
A0157240,2025-09-01,8,16.12,0.068,0,8.7,0,1,0
A0056840,2025-09-01,42,12.66,0.012,0,19.2,1,0,0
A0063998,2025-09-01,87,27.58,-0.066,0,6.7,1,0,0
A0129709,2025-09-01,80,19.97,0.273,1,14.1,1,1,0
A0130072,2025-09-01,18,23.59,-0.263,0,18.5,1,2,0
A0139243,2025-09-01,29,21.34,0.148,0,3.3,0,1,1
A0173851,2025-09-01,42,25.2,0.051,1,9.1,1,1,0
A0058544,2025-09-01,16,38.38,0.057,0,8.0,1,1,0
A0187752,2025-09-01,23,18.37,-0.017,0,13.0,0,0,0
A0000299,2025-09-01,75,24.04,0.236,0,11.6,1,0,0
A0015384,2025-09-01,78,17.58,0.048,0,10.3,1,0,0
A0194692,2025-09-01,22,26.38,-0.548,0,20.1,1,2,0
A0188776,2025-09-01,94,17.6,0.051,0,4.6,1,1,0
A0059680,2025-09-01,14,39.58,-0.048,0,30.7,0,1,0
A0027854,2025-09-01,21,41.39,0.064,2,16.2,0,0,0
A0062797,2025-09-01,2,73.26,0.073,0,16.6,1,2,0
A0008621,2025-09-01,85,34.49,-0.127,0,16.0,1,0,0
A0178342,2025-09-01,91,34.05,-0.079,2,6.2,1,0,0
A0132533,2025-09-01,24,18.29,-0.069,0,18.9,0,3,0
A0117033,2025-09-01,64,29.67,-0.008,2,2.6,1,0,0
A0048935,2025-09-01,24,20.37,0.071,1,9.6,0,1,0
A0094262,2025-09-01,60,36.82,0.189,1,13.1,1,2,0
A0038069,2025-09-01,32,22.04,-0.014,0,13.8,0,1,0
A0154655,2025-09-01,9,10.34,-0.097,1,5.1,0,0,0
A0094896,2025-09-01,36,35.55,-0.128,0,11.1,0,1,0
A0006070,2025-09-01,80,39.38,-0.037,2,2.4,0,3,0
A0050883,2025-09-01,49,20.46,0.124,0,17.5,0,1,0
A0141393,2025-09-01,6,22.98,-0.089,0,15.6,0,1,0
A0103940,2025-09-01,84,8.3,0.054,0,30.2,0,1,0
A0074849,2025-09-01,66,17.17,-0.083,0,17.7,1,1,0
A0050729,2025-09-01,61,21.73,-0.088,0,11.7,1,3,0
A0018171,2025-09-01,79,52.94,0.012,0,22.2,0,1,0
A0121721,2025-09-01,9,24.82,0.041,0,22.3,0,2,0
A0132100,2025-09-01,44,49.79,0.095,1,13.1,1,2,0
A0104042,2025-09-01,59,28.91,0.03,1,11.1,1,0,0
A0186292,2025-09-01,18,31.19,-0.127,1,13.3,1,1,0
A0185587,2025-09-01,16,15.64,-0.119,0,7.4,1,0,0
A0041439,2025-09-01,93,32.6,-0.314,0,28.4,1,2,0
A0121631,2025-09-01,23,57.82,-0.204,0,8.5,1,0,0
A0126018,2025-09-01,5,20.32,-0.135,0,18.1,0,2,0
A0049585,2025-09-01,33,52.98,0.159,1,13.9,1,1,0
A0059633,2025-09-01,26,33.07,-0.083,0,3.3,0,0,0
A0097462,2025-09-01,17,25.31,0.157,4,6.3,0,2,0
