client_id,satisfaction,date_enquete
60659,7.0,2026-06-15
57917,7.0,2026-06-15
75921,8.0,2026-06-15
27176,8.0,2026-06-15
64125,7.0,2026-06-15
66679,6.0,2026-06-15
14690,9.0,2026-06-15
57442,9.0,2026-06-15
11477,6.0,2026-06-15
54614,8.0,2026-06-15
2859,9.0,2026-06-15
20040,5.0,2026-06-15
69754,4.0,2026-06-15
42990,7.0,2026-06-15
21699,6.0,2026-06-15
41185,8.0,2026-06-15
69750,8.0,2026-06-15
5114,7.0,2026-06-15
5039,7.0,2026-06-15
13219,7.0,2026-06-15
77102,6.0,2026-06-15
33670,8.0,2026-06-15
66315,8.0,2026-06-15
58852,7.0,2026-06-15
58766,7.0,2026-06-15
3938,10.0,2026-06-15
53873,6.0,2026-06-15
64589,9.0,2026-06-15
60325,8.0,2026-06-15
65112,9.0,2026-06-15
47304,7.0,2026-06-15
64133,7.0,2026-06-15
7782,7.0,2026-06-15
70860,9.0,2026-06-15
53418,6.0,2026-06-15
1922,8.0,2026-06-15
19807,8.0,2026-06-15
20662,4.0,2026-06-15
21705,8.0,2026-06-15
71081,10.0,2026-06-15
16410,9.0,2026-06-15
47160,8.0,2026-06-15
29078,7.0,2026-06-15
67560,5.0,2026-06-15
45036,10.0,2026-06-15
70355,7.0,2026-06-15
75676,8.0,2026-06-15
901,9.0,2026-06-15
62410,7.0,2026-06-15
45790,8.0,2026-06-15
46374,10.0,2026-06-15
23745,9.0,2026-06-15
94,6.0,2026-06-15
65410,8.0,2026-06-15
33970,9.0,2026-06-15
61605,7.0,2026-06-15
74486,6.0,2026-06-15
20043,9.0,2026-06-15
14123,10.0,2026-06-15
61046,7.0,2026-06-15
34187,4.0,2026-06-15
13653,6.0,2026-06-15
8853,9.0,2026-06-15
18101,6.0,2026-06-15
28700,5.0,2026-06-15
22540,5.0,2026-06-15
48562,7.0,2026-06-15
29671,8.0,2026-06-15
73801,8.0,2026-06-15
12684,5.0,2026-06-15
40090,8.0,2026-06-15
33627,9.0,2026-06-15
8707,9.0,2026-06-15
39382,8.0,2026-06-15
38563,8.0,2026-06-15
75043,8.0,2026-06-15
13769,9.0,2026-06-15
72431,6.0,2026-06-15
29467,7.0,2026-06-15
48102,6.0,2026-06-15
67229,7.0,2026-06-15
19716,9.0,2026-06-15
7804,8.0,2026-06-15
9890,9.0,2026-06-15
49982,6.0,2026-06-15
3249,8.0,2026-06-15
59146,9.0,2026-06-15
11162,8.0,2026-06-15
19489,8.0,2026-06-15
60630,10.0,2026-06-15
3599,7.0,2026-06-15
26454,6.0,2026-06-15
62929,8.0,2026-06-15
46499,7.0,2026-06-15
1756,6.0,2026-06-15
73531,8.0,2026-06-15
31727,5.0,2026-06-15
77241,6.0,2026-06-15
42519,8.0,2026-06-15
78551,8.0,2026-06-15
14846,10.0,2026-06-15
24144,8.0,2026-06-15
26669,10.0,2026-06-15
19188,5.0,2026-06-15
75213,7.0,2026-06-15
14774,8.0,2026-06-15
61043,7.0,2026-06-15
18655,7.0,2026-06-15
78588,5.0,2026-06-15
2929,7.0,2026-06-15
27200,9.0,2026-06-15
17937,6.0,2026-06-15
52126,7.0,2026-06-15
43620,8.0,2026-06-15
38229,8.0,2026-06-15
5363,9.0,2026-06-15
62978,8.0,2026-06-15
24394,6.0,2026-06-15
61408,7.0,2026-06-15
61798,9.0,2026-06-15
76181,6.0,2026-06-15
65439,6.0,2026-06-15
74728,5.0,2026-06-15
73703,9.0,2026-06-15
10837,10.0,2026-06-15
78370,8.0,2026-06-15
34642,9.0,2026-06-15
38655,10.0,2026-06-15
113,6.0,2026-06-15
28593,10.0,2026-06-15
50405,5.0,2026-06-15
58546,9.0,2026-06-15
12755,5.0,2026-06-15
3823,8.0,2026-06-15
18515,5.0,2026-06-15
759,9.0,2026-06-15
57329,6.0,2026-06-15
55856,10.0,2026-06-15
12736,6.0,2026-06-15
75400,8.0,2026-06-15
28565,9.0,2026-06-15
56589,10.0,2026-06-15
20709,7.0,2026-06-15
57129,8.0,2026-06-15
15251,8.0,2026-06-15
