enqueteur,n,duree_mediane,whipple,risque,gps_repetes_pct,ecart_intra_strate
E001,228,33.4,131.57894736842104,0.17105263157894737,17.1,0.016
E002,259,34.0,125.48262548262548,0.1583011583011583,15.8,0.003
E003,246,33.7,140.2439024390244,0.16260162601626016,16.3,0.008
E004,238,34.1,151.26050420168067,0.15546218487394958,15.5,0.001
E005,223,33.5,174.8878923766816,0.1210762331838565,12.1,-0.034
E006,242,34.3,144.6280991735537,0.1446280991735537,14.5,-0.01
E007,231,33.7,136.36363636363635,0.16883116883116883,16.9,0.014
E008,239,34.2,133.89121338912133,0.1506276150627615,15.1,-0.004
E009,243,33.7,123.45679012345678,0.1440329218106996,14.4,-0.011
E010,251,33.5,135.45816733067727,0.13147410358565736,13.1,-0.023
E011,246,34.4,156.5040650406504,0.13008130081300814,13.0,-0.025
E012,256,33.6,158.203125,0.171875,17.2,0.017
E013,237,34.2,172.99578059071732,0.1940928270042194,19.4,0.039
E014,231,33.4,136.36363636363635,0.15151515151515152,15.2,-0.003
E015,250,33.1,130.0,0.124,12.4,-0.031
E016,236,33.2,135.59322033898303,0.15254237288135594,15.3,-0.002
E017,230,33.849999999999994,134.78260869565216,0.13043478260869565,13.0,-0.024
E018,226,33.25,174.77876106194688,0.1902654867256637,19.0,0.035
E019,249,33.7,134.53815261044178,0.17670682730923695,17.7,0.022
E020,243,33.9,121.39917695473251,0.11934156378600823,11.9,-0.036
E021,241,32.4,134.85477178423236,0.14937759336099585,14.9,-0.005
E022,263,33.5,157.79467680608366,0.11406844106463879,11.4,-0.041
E023,249,34.4,124.49799196787147,0.1646586345381526,16.5,0.01
E024,247,34.2,121.4574898785425,0.17813765182186234,17.8,0.023
E025,255,34.2,129.41176470588238,0.16470588235294117,16.5,0.01
E026,266,32.7,140.97744360902257,0.17669172932330826,17.7,0.022
E027,228,33.349999999999994,138.15789473684214,0.12719298245614036,12.7,-0.028
E028,231,34.1,162.33766233766232,0.1774891774891775,17.7,0.023
E029,217,33.4,149.7695852534562,0.16129032258064516,16.1,0.006
E030,243,32.8,158.43621399176956,0.1111111111111111,11.1,-0.044
E031,231,33.0,138.52813852813853,0.14285714285714285,14.3,-0.012
E032,264,34.3,164.77272727272725,0.21212121212121213,21.2,0.057
E033,258,34.05,125.96899224806201,0.16666666666666666,16.7,0.012
E034,256,33.7,130.859375,0.140625,14.1,-0.014
E035,231,34.2,134.19913419913422,0.12554112554112554,12.6,-0.029
E036,261,33.7,114.94252873563218,0.12260536398467432,12.3,-0.032
E037,192,32.6,143.22916666666666,0.11979166666666667,12.0,-0.035
E038,247,33.5,149.79757085020242,0.13360323886639677,13.4,-0.021
E039,239,34.8,144.35146443514643,0.16317991631799164,16.3,0.008
E040,278,34.0,134.89208633093523,0.1474820143884892,14.7,-0.007
E041,232,33.3,144.39655172413794,0.15948275862068967,15.9,0.005
E042,244,33.7,143.44262295081967,0.13114754098360656,13.1,-0.024
E043,248,33.55,167.33870967741936,0.1935483870967742,19.4,0.039
E044,234,32.9,160.25641025641025,0.19658119658119658,19.7,0.042
E045,243,33.8,166.66666666666663,0.18106995884773663,18.1,0.026
E046,236,33.55,156.77966101694915,0.1694915254237288,16.9,0.015
E047,248,33.150000000000006,139.11290322580643,0.16129032258064516,16.1,0.006
E048,213,34.0,140.84507042253523,0.15023474178403756,15.0,-0.005
E049,239,33.3,117.15481171548117,0.14225941422594143,14.2,-0.013
E050,253,33.3,171.93675889328063,0.15019762845849802,15.0,-0.005
E051,223,34.5,132.28699551569505,0.15246636771300448,15.2,-0.002
E052,238,34.2,144.95798319327733,0.17647058823529413,17.6,0.022
E053,227,33.0,112.33480176211455,0.14977973568281938,15.0,-0.005
E054,239,33.7,138.0753138075314,0.15481171548117154,15.5,-0.0
E055,238,32.650000000000006,147.05882352941177,0.14705882352941177,14.7,-0.008
E056,259,34.0,148.64864864864865,0.16988416988416988,17.0,0.015
E057,260,33.45,146.15384615384616,0.16153846153846155,16.2,0.007
E058,248,34.0,129.03225806451613,0.1532258064516129,15.3,-0.002
E059,231,35.6,162.33766233766232,0.15151515151515152,15.2,-0.003
E060,249,34.0,110.4417670682731,0.1606425702811245,16.1,0.006
E061,225,34.5,153.33333333333331,0.19111111111111112,19.1,0.036
E062,223,33.9,156.95067264573993,0.17488789237668162,17.5,0.02
E063,231,34.2,142.85714285714283,0.15584415584415584,15.6,0.001
E064,245,33.2,138.77551020408163,0.12244897959183673,12.2,-0.032
E065,239,33.0,163.17991631799163,0.16736401673640167,16.7,0.013
E066,229,33.9,141.92139737991266,0.13973799126637554,14.0,-0.015
E067,231,33.5,136.36363636363635,0.1645021645021645,16.5,0.01
E068,200,33.8,152.5,0.115,11.5,-0.04
E069,236,32.65,129.23728813559322,0.15677966101694915,15.7,0.002
E070,258,33.4,112.4031007751938,0.16279069767441862,16.3,0.008
E071,225,33.4,128.88888888888889,0.17333333333333334,17.3,0.018
E072,231,33.5,134.19913419913422,0.1645021645021645,16.5,0.01
E073,240,33.25,133.33333333333334,0.1625,16.2,0.008
E074,232,33.9,153.01724137931035,0.16379310344827586,16.4,0.009
E075,252,33.650000000000006,132.93650793650795,0.1388888888888889,13.9,-0.016
