action,cible,motif,origine
contre_appel,Q000001,duree anormale,cible
contre_appel,Q000002,duree anormale,cible
contre_appel,Q000003,duree anormale,cible
contre_appel,Q000004,duree anormale,cible
contre_appel,Q000005,duree anormale,cible
contre_appel,Q000006,duree anormale,cible
contre_appel,Q000007,duree anormale,cible
contre_appel,Q000008,duree anormale,cible
contre_appel,Q000009,duree anormale,cible
contre_appel,Q000010,duree anormale,cible
contre_appel,Q000011,duree anormale,cible
contre_appel,Q000012,duree anormale,cible
contre_appel,Q000013,duree anormale,cible
contre_appel,Q000014,duree anormale,cible
contre_appel,Q000015,duree anormale,cible
contre_appel,Q000016,duree anormale,cible
contre_appel,Q000017,duree anormale,cible
contre_appel,Q000018,duree anormale,cible
contre_appel,Q000019,duree anormale,cible
contre_appel,Q000020,duree anormale,cible
contre_appel,Q000021,duree anormale,cible
contre_appel,Q000022,duree anormale,cible
contre_appel,Q000023,duree anormale,cible
contre_appel,Q000024,duree anormale,cible
contre_appel,Q000025,duree anormale,cible
contre_appel,Q000026,duree anormale,cible
contre_appel,Q000027,duree anormale,cible
contre_appel,Q000028,duree anormale,cible
contre_appel,Q000029,duree anormale,cible
contre_appel,Q000030,duree anormale,cible
contre_appel,Q000031,duree anormale,cible
contre_appel,Q000032,duree anormale,cible
contre_appel,Q000033,duree anormale,aleatoire
contre_appel,Q000034,duree anormale,aleatoire
contre_appel,Q000035,duree anormale,aleatoire
contre_appel,Q000036,duree anormale,aleatoire
contre_appel,Q000037,duree anormale,aleatoire
contre_appel,Q000038,duree anormale,aleatoire
contre_appel,Q000039,duree anormale,aleatoire
contre_appel,Q000040,duree anormale,aleatoire
visite,E007,duree anormale,aleatoire
visite,E059,duree anormale,aleatoire
visite,E050,duree anormale,aleatoire
visite,E033,duree anormale,aleatoire
visite,E065,duree anormale,aleatoire
