questionnaire,enqueteur,grappe,strate,duree_min,lat,lon,age,straightlining,prob_inclusion,repondant,sexe,milieu,compte_bancaire,nb_corrections,distance_grappe_m,heure_debut,rang_dans_journee,classe_age,menage_id,invalide,poids_final
Q000001,E007,88,4,36.2,4.342228435236426,18.59135925541301,28,0.154,0.0114,1,F,Rural,oui,0,614.0,7,1,15a34,Q000001,0,87.72
Q000002,E059,105,1,40.9,4.386070641248606,18.58216361293797,14,0.167,0.0668,0,H,Rural,non,3,80.0,18,6,moins15,Q000002,1,14.97
Q000003,E050,18,3,35.6,4.316877632438694,18.431583932396755,30,0.143,0.0602,0,H,Rural,non,3,344.0,15,7,15a34,Q000003,0,16.61
Q000004,E033,30,5,36.3,4.3612,18.5551,56,0.267,0.0348,1,H,Rural,non,2,386.0,7,2,35plus,Q000004,1,28.74
Q000005,E033,5,4,27.9,4.407521243877983,18.58835938834192,18,0.078,0.0332,1,F,Rural,oui,2,6.0,17,6,15a34,Q000005,0,30.12
Q000006,E065,59,6,38.9,4.456579495264883,18.505568118480216,15,0.151,0.0242,1,H,Rural,non,2,407.0,11,4,15a34,Q000006,0,41.32
Q000007,E007,60,5,32.7,4.319891158083606,18.543563240687806,25,0.393,0.0731,1,F,Rural,non,1,4.0,15,7,15a34,Q000007,1,13.68
Q000008,E053,4,3,20.0,4.313685122439016,18.567955161792288,21,0.414,0.0215,1,H,Urbain,oui,1,139.0,8,8,15a34,Q000008,0,46.51
Q000009,E016,80,5,39.8,4.387566208620719,18.57418262800723,42,0.24,0.0721,1,F,Rural,non,2,659.0,14,6,35plus,Q000009,0,13.87
Q000010,E008,2,6,41.9,4.34631188479252,18.593034033176608,25,0.299,0.0185,1,H,Urbain,non,0,455.0,18,1,15a34,Q000010,0,54.05
Q000011,E040,96,4,44.4,4.4099659581280966,18.613555983971672,36,0.166,0.0201,0,H,Urbain,non,0,250.0,11,1,35plus,Q000011,0,49.75
Q000012,E074,85,5,49.2,4.425885501771707,18.581628559456906,55,0.334,0.0422,1,H,Rural,oui,1,434.0,12,6,35plus,Q000012,0,23.7
Q000013,E056,98,4,39.4,4.445140235320881,18.488627039367348,16,0.277,0.0285,1,H,Rural,non,1,166.0,10,1,15a34,Q000013,0,35.09
Q000014,E058,15,6,37.6,4.36291991488449,18.57932191052281,46,0.369,0.0581,1,H,Urbain,oui,0,111.0,11,8,35plus,Q000014,0,17.21
Q000015,E054,105,2,41.6,4.404019230895537,18.604087509165684,44,0.4,0.0457,1,H,Urbain,non,2,90.0,14,6,35plus,Q000015,0,21.88
Q000016,E059,66,3,27.8,4.3341520249469525,18.572674619331075,12,0.128,0.0441,1,F,Rural,non,1,236.0,8,3,moins15,Q000016,0,22.68
Q000017,E039,104,2,22.3,4.3708607500563605,18.614486398503296,51,0.19,0.0599,1,F,Urbain,non,1,609.0,18,7,35plus,Q000017,0,16.69
Q000018,E010,84,1,30.7,4.357328150120347,18.561877577175412,12,0.128,0.0434,1,F,Urbain,non,1,8.0,8,2,moins15,Q000018,0,23.04
Q000019,E063,79,4,42.9,4.354661326971998,18.5436503513074,9,0.159,0.0316,1,F,Rural,non,1,140.0,11,3,moins15,Q000019,0,31.65
Q000020,E034,4,1,29.4,4.451195835009213,18.507648918675976,18,0.113,0.0627,1,F,Rural,non,1,125.0,12,7,15a34,Q000020,0,15.95
Q000021,E038,84,2,37.3,4.2928960039700135,18.65171708486576,18,0.272,0.0491,0,H,Urbain,oui,1,262.0,12,8,15a34,Q000021,0,20.37
Q000022,E028,54,5,38.0,4.3597510885269255,18.497734581221426,25,0.026,0.012,1,F,Urbain,non,3,124.0,7,7,15a34,Q000022,0,83.33
Q000023,E014,102,2,35.7,4.362688525905338,18.54976074122388,14,0.138,0.0116,1,H,Rural,oui,2,491.0,12,8,moins15,Q000023,0,86.21
Q000024,E070,83,6,25.1,4.392165039641545,18.53218545946649,39,0.348,0.0183,1,F,Rural,non,1,51.0,15,6,35plus,Q000024,0,54.64
Q000025,E059,9,1,36.4,4.305141384328462,18.483289991825124,29,0.324,0.0457,1,H,Rural,non,1,620.0,9,5,15a34,Q000025,0,21.88
Q000026,E049,107,3,31.0,4.345050742881354,18.594408544453593,33,0.146,0.0479,0,H,Rural,non,0,49.0,15,5,15a34,Q000026,0,20.88
Q000027,E031,8,1,45.9,4.3302116634575905,18.574947677099626,41,0.051,0.0456,0,F,Urbain,non,0,159.0,8,2,35plus,Q000027,0,21.93
Q000028,E062,36,1,42.0,4.247404410651183,18.56219889612212,53,0.326,0.0331,1,H,Rural,non,2,93.0,16,1,35plus,Q000028,0,30.21
Q000029,E041,27,5,31.3,4.418123902058055,18.518631134397857,24,0.057,0.0184,1,F,Urbain,non,1,291.0,9,3,15a34,Q000029,0,54.35
Q000030,E034,117,1,46.4,4.286503383540502,18.578169094032997,21,0.091,0.0783,0,H,Rural,non,4,546.0,14,8,15a34,Q000030,0,12.77
Q000031,E034,19,6,36.4,4.279839059773096,18.536944340570614,43,0.133,0.0112,1,H,Urbain,oui,2,298.0,11,1,35plus,Q000031,0,89.29
Q000032,E018,102,4,22.3,4.4073814011520875,18.57405142128367,49,0.311,0.0578,1,F,Rural,non,0,15.0,9,1,35plus,Q000032,0,17.3
Q000033,E007,27,3,33.5,4.343257245509247,18.62180690393448,32,0.134,0.0159,1,H,Rural,oui,1,518.0,9,5,15a34,Q000033,0,62.89
