questionnaire,anomalie
Q000001,aucune
Q000002,doublon
Q000003,aucune
Q000004,gps_reutilise
Q000005,aucune
Q000006,aucune
Q000007,age_arrondi
Q000008,aucune
Q000009,aucune
Q000010,aucune
Q000011,aucune
Q000012,aucune
Q000013,aucune
Q000014,aucune
Q000015,aucune
Q000016,aucune
Q000017,aucune
Q000018,aucune
Q000019,aucune
Q000020,aucune
Q000021,aucune
Q000022,aucune
Q000023,aucune
Q000024,aucune
Q000025,aucune
Q000026,aucune
Q000027,aucune
Q000028,aucune
Q000029,aucune
Q000030,aucune
Q000031,aucune
Q000032,aucune
Q000033,aucune
Q000034,aucune
Q000035,aucune
Q000036,aucune
Q000037,aucune
Q000038,aucune
Q000039,aucune
Q000040,aucune
Q000041,entretien_rapide
Q000042,aucune
Q000043,age_arrondi
Q000044,aucune
Q000045,aucune
Q000046,aucune
Q000047,age_arrondi
Q000048,aucune
Q000049,entretien_rapide
Q000050,aucune
Q000051,aucune
Q000052,aucune
Q000053,aucune
Q000054,aucune
Q000055,aucune
Q000056,aucune
Q000057,aucune
Q000058,aucune
Q000059,age_arrondi
Q000060,aucune
Q000061,aucune
Q000062,aucune
Q000063,age_arrondi
Q000064,aucune
Q000065,age_arrondi
Q000066,aucune
Q000067,aucune
Q000068,entretien_rapide
Q000069,age_arrondi
Q000070,aucune
Q000071,aucune
Q000072,aucune
Q000073,aucune
Q000074,aucune
Q000075,aucune
Q000076,aucune
Q000077,aucune
Q000078,aucune
Q000079,aucune
Q000080,aucune
Q000081,aucune
Q000082,aucune
Q000083,age_arrondi
Q000084,aucune
Q000085,aucune
Q000086,aucune
Q000087,aucune
Q000088,aucune
Q000089,aucune
Q000090,aucune
Q000091,aucune
Q000092,aucune
Q000093,entretien_rapide
Q000094,age_arrondi
Q000095,aucune
Q000096,aucune
Q000097,age_arrondi
Q000098,aucune
Q000099,aucune
Q000100,aucune
Q000101,aucune
Q000102,aucune
Q000103,aucune
Q000104,aucune
Q000105,age_arrondi
Q000106,aucune
Q000107,aucune
Q000108,aucune
Q000109,aucune
Q000110,gps_reutilise
Q000111,aucune
Q000112,aucune
Q000113,aucune
Q000114,aucune
Q000115,aucune
Q000116,uniformite
Q000117,aucune
Q000118,aucune
Q000119,aucune
Q000120,age_arrondi
Q000121,aucune
Q000122,aucune
Q000123,aucune
Q000124,aucune
Q000125,aucune
Q000126,aucune
Q000127,aucune
Q000128,aucune
Q000129,aucune
Q000130,aucune
Q000131,aucune
Q000132,aucune
Q000133,aucune
Q000134,aucune
Q000135,aucune
Q000136,aucune
Q000137,age_arrondi
Q000138,aucune
Q000139,aucune
Q000140,aucune
Q000141,aucune
Q000142,aucune
Q000143,aucune
Q000144,aucune
Q000145,aucune
Q000146,aucune
Q000147,aucune
Q000148,aucune
Q000149,aucune
Q000150,aucune
Q000151,age_arrondi
Q000152,aucune
Q000153,aucune
Q000154,aucune
Q000155,aucune
Q000156,aucune
Q000157,aucune
Q000158,aucune
Q000159,aucune
Q000160,aucune
Q000161,aucune
Q000162,age_arrondi
Q000163,aucune
Q000164,aucune
Q000165,aucune
Q000166,aucune
Q000167,aucune
Q000168,aucune
Q000169,aucune
Q000170,aucune
Q000171,aucune
Q000172,gps_reutilise
Q000173,aucune
Q000174,aucune
Q000175,age_arrondi
Q000176,aucune
Q000177,aucune
Q000178,aucune
Q000179,aucune
Q000180,aucune
Q000181,aucune
Q000182,aucune
Q000183,aucune
Q000184,aucune
Q000185,aucune
Q000186,aucune
Q000187,aucune
Q000188,aucune
Q000189,aucune
Q000190,aucune
Q000191,aucune
Q000192,age_arrondi
Q000193,aucune
Q000194,aucune
Q000195,aucune
Q000196,aucune
Q000197,uniformite
Q000198,aucune
Q000199,aucune
Q000200,aucune
Q000201,aucune
Q000202,aucune
Q000203,aucune
Q000204,aucune
Q000205,aucune
Q000206,aucune
Q000207,aucune
Q000208,aucune
Q000209,aucune
Q000210,entretien_rapide
Q000211,aucune
Q000212,aucune
Q000213,entretien_rapide
Q000214,aucune
Q000215,aucune
Q000216,aucune
Q000217,aucune
Q000218,uniformite
Q000219,aucune
Q000220,aucune
Q000221,age_arrondi
Q000222,aucune
Q000223,gps_reutilise
Q000224,gps_reutilise
Q000225,aucune
Q000226,uniformite
Q000227,aucune
Q000228,aucune
Q000229,aucune
Q000230,aucune
Q000231,age_arrondi
Q000232,aucune
Q000233,aucune
Q000234,aucune
Q000235,aucune
Q000236,aucune
Q000237,aucune
Q000238,age_arrondi
Q000239,aucune
Q000240,aucune
Q000241,aucune
Q000242,age_arrondi
Q000243,aucune
Q000244,aucune
Q000245,aucune
Q000246,aucune
Q000247,aucune
Q000248,aucune
Q000249,aucune
Q000250,age_arrondi
Q000251,aucune
Q000252,aucune
Q000253,aucune
Q000254,aucune
Q000255,aucune
Q000256,aucune
Q000257,aucune
Q000258,aucune
Q000259,age_arrondi
Q000260,aucune
Q000261,aucune
Q000262,aucune
Q000263,aucune
Q000264,aucune
Q000265,aucune
Q000266,aucune
Q000267,doublon
Q000268,aucune
