verbatim_id,client_id,canal,date,texte,service_destinataire
V000000,69620,chat,2026-03-29 00:00:00,la qualite n est pas au rendez vous,produit
V000001,53401,chat,2025-10-03 00:00:00,promotion interessante ce mois ci,prix
V000002,73230,chat,2025-06-16 00:00:00,conseiller tres aimable et efficace,contact
V000003,1045,enquete,2025-07-17 00:00:00,personne ne repond au telephone,contact
V000004,38796,chat,2026-07-18 00:00:00,promotion interessante ce mois ci,prix
V000005,11846,chat,2026-03-27 00:00:00,delai de livraison beaucoup trop long,livraison
V000006,62769,chat,2026-03-15 00:00:00,procedure de retour incomprehensible,retour
V000007,77492,reclamation,2025-12-07 00:00:00,promotion interessante ce mois ci,prix
V000008,22380,reclamation,2025-07-25 00:00:00,conseiller tres aimable et efficace,contact
V000009,17049,chat,2026-06-24 00:00:00,conseiller tres aimable et efficace,contact
V000010,73024,chat,2025-08-31 00:00:00,personne ne repond au telephone,contact
V000011,6340,chat,2025-05-18 00:00:00,la qualite n est pas au rendez vous,produit
V000012,29611,avis,2025-10-21 00:00:00,article conforme et solide,produit
V000013,8918,chat,2025-06-03 00:00:00,la qualite n est pas au rendez vous,produit
V000014,4981,reclamation,2026-06-17 00:00:00,article conforme et solide,produit
V000015,11355,enquete,2025-09-02 00:00:00,impossible de joindre le service client,contact
V000016,30165,enquete,2025-10-12 00:00:00,livraison pas rapide du tout,livraison
V000017,48451,enquete,2026-07-21 00:00:00,promotion interessante ce mois ci,prix
V000018,61023,chat,2026-03-12 00:00:00,bon rapport qualite prix,prix
V000019,166,avis,2026-04-30 00:00:00,livraison pas rapide du tout,livraison
V000020,21398,reclamation,2026-05-27 00:00:00,impossible de joindre le service client,contact
V000021,53019,avis,2026-07-30 00:00:00,promotion interessante ce mois ci,prix
V000022,17566,avis,2025-08-24 00:00:00,les prix ont augmente,prix
V000023,17695,enquete,2025-10-18 00:00:00,le colis est arrive en retard,livraison
V000024,62563,reclamation,2025-11-23 00:00:00,article conforme et solide,produit
V000025,20790,avis,2026-04-26 00:00:00,bon rapport qualite prix,prix
V000026,25833,chat,2025-08-25 00:00:00,impossible de retourner l article,retour
V000027,7547,reclamation,2025-05-31 00:00:00,le colis est arrive en retard,livraison
V000028,10066,reclamation,2025-05-25 00:00:00,le colis est arrive en retard,livraison
V000029,1029,chat,2025-11-14 00:00:00,bon rapport qualite prix,prix
V000030,45751,enquete,2025-07-19 00:00:00,personne ne repond au telephone,contact
V000031,3607,avis,2025-06-03 00:00:00,bon rapport qualite prix,prix
V000032,45513,enquete,2026-03-02 00:00:00,le produit ne correspond pas a la photo,produit
V000033,22294,reclamation,2026-07-17 00:00:00,bon rapport qualite prix,prix
V000034,38782,avis,2025-08-11 00:00:00,promotion interessante ce mois ci,prix
V000035,55870,enquete,2026-03-09 00:00:00,promotion interessante ce mois ci,prix
V000036,71735,reclamation,2026-03-07 00:00:00,promotion interessante ce mois ci,prix
V000037,2999,chat,2026-03-15 00:00:00,bon rapport qualite prix,prix
V000038,10327,avis,2025-08-20 00:00:00,bon rapport qualite prix,prix
V000039,78823,reclamation,2026-06-05 00:00:00,impossible de joindre le service client,contact
V000040,61333,avis,2025-12-05 00:00:00,le produit ne correspond pas a la photo,produit
V000041,68476,enquete,2025-06-22 00:00:00,le colis est arrive en retard,livraison
V000042,46529,avis,2025-11-14 00:00:00,promotion interessante ce mois ci,prix
V000043,454,reclamation,2025-10-02 00:00:00,article conforme et solide,produit
V000044,40032,enquete,2025-11-09 00:00:00,livraison pas rapide du tout,livraison
V000045,61111,avis,2025-11-07 00:00:00,le produit ne correspond pas a la photo,produit
V000046,59906,avis,2025-12-18 00:00:00,promotion interessante ce mois ci,prix
V000047,54366,enquete,2025-07-18 00:00:00,conseiller tres aimable et efficace,contact
V000048,40074,chat,2025-12-21 00:00:00,impossible de retourner l article,retour
V000049,2230,avis,2026-01-02 00:00:00,conseiller tres aimable et efficace,contact
V000050,29514,avis,2025-11-16 00:00:00,delai de livraison beaucoup trop long,livraison
V000051,42832,enquete,2025-08-28 00:00:00,promotion interessante ce mois ci,prix
V000052,12441,avis,2026-06-14 00:00:00,promotion interessante ce mois ci,prix
V000053,34473,chat,2026-06-04 00:00:00,le remboursement n arrive pas,retour
V000054,2802,chat,2026-05-13 00:00:00,bon rapport qualite prix,prix
V000055,50300,enquete,2025-05-11 00:00:00,la qualite n est pas au rendez vous,produit
V000056,16922,chat,2025-09-09 00:00:00,la qualite n est pas au rendez vous,produit
V000057,61099,reclamation,2026-04-06 00:00:00,livraison pas rapide du tout,livraison
V000058,72116,reclamation,2026-01-30 00:00:00,impossible de retourner l article,retour
V000059,72971,reclamation,2025-09-30 00:00:00,livraison pas rapide du tout,livraison
V000060,45415,enquete,2026-06-18 00:00:00,promotion interessante ce mois ci,prix
V000061,19914,avis,2025-10-16 00:00:00,article conforme et solide,produit
V000062,75701,chat,2026-02-19 00:00:00,le remboursement n arrive pas,retour
V000063,50674,reclamation,2026-04-24 00:00:00,personne ne repond au telephone,contact
V000064,56396,enquete,2025-11-24 00:00:00,impossible de retourner l article,retour
V000065,30448,chat,2026-06-11 00:00:00,impossible de joindre le service client,contact
V000066,25853,reclamation,2025-10-02 00:00:00,promotion interessante ce mois ci,prix
V000067,72984,enquete,2025-07-29 00:00:00,promotion interessante ce mois ci,prix
V000068,28356,avis,2026-06-09 00:00:00,conseiller tres aimable et efficace,contact
V000069,28789,chat,2025-09-02 00:00:00,impossible de retourner l article,retour
V000070,9407,avis,2025-10-26 00:00:00,impossible de retourner l article,retour
V000071,46398,reclamation,2025-07-09 00:00:00,personne ne repond au telephone,contact
V000072,31107,chat,2025-05-06 00:00:00,bon rapport qualite prix,prix
V000073,67528,reclamation,2026-05-04 00:00:00,conseiller tres aimable et efficace,contact
V000074,17839,reclamation,2026-01-23 00:00:00,le produit ne correspond pas a la photo,produit
V000075,68703,chat,2025-10-22 00:00:00,le produit ne correspond pas a la photo,produit
V000076,33436,enquete,2025-05-08 00:00:00,impossible de retourner l article,retour
V000077,11841,chat,2025-11-17 00:00:00,personne ne repond au telephone,contact
V000078,65553,chat,2026-04-08 00:00:00,delai de livraison beaucoup trop long,livraison
V000079,11119,enquete,2026-01-01 00:00:00,delai de livraison beaucoup trop long,livraison
V000080,78079,reclamation,2026-03-24 00:00:00,livraison pas rapide du tout,livraison
V000081,25683,reclamation,2026-04-22 00:00:00,promotion interessante ce mois ci,prix
V000082,13414,enquete,2025-12-04 00:00:00,personne ne repond au telephone,contact
V000083,24109,chat,2025-09-01 00:00:00,promotion interessante ce mois ci,prix
V000084,55052,avis,2026-01-29 00:00:00,promotion interessante ce mois ci,prix
V000085,57504,chat,2025-09-08 00:00:00,le colis est arrive en retard,livraison
V000086,59857,reclamation,2026-03-18 00:00:00,livraison pas rapide du tout,livraison
V000087,36244,enquete,2025-07-14 00:00:00,livraison pas rapide du tout,livraison
V000088,25363,enquete,2026-06-15 00:00:00,promotion interessante ce mois ci,prix
V000089,40996,chat,2025-10-16 00:00:00,procedure de retour incomprehensible,retour
V000090,37185,avis,2026-02-16 00:00:00,livraison pas rapide du tout,livraison
V000091,3093,avis,2025-11-23 00:00:00,conseiller tres aimable et efficace,contact
V000092,67002,chat,2025-12-09 00:00:00,delai de livraison beaucoup trop long,livraison
V000093,28477,reclamation,2026-06-24 00:00:00,promotion interessante ce mois ci,prix
V000094,61045,avis,2026-01-08 00:00:00,article conforme et solide,produit
V000095,9749,enquete,2025-09-13 00:00:00,personne ne repond au telephone,contact
V000096,53789,enquete,2026-06-16 00:00:00,article conforme et solide,produit
V000097,6379,enquete,2026-06-27 00:00:00,conseiller tres aimable et efficace,contact
V000098,23095,avis,2025-06-01 00:00:00,delai de livraison beaucoup trop long,livraison
V000099,37935,chat,2025-04-26 00:00:00,le remboursement n arrive pas,retour
V000100,34940,chat,2025-11-23 00:00:00,bon rapport qualite prix,prix
V000101,19169,chat,2026-05-01 00:00:00,impossible de joindre le service client,contact
V000102,19344,reclamation,2025-05-11 00:00:00,personne ne repond au telephone,contact
V000103,15377,enquete,2026-01-01 00:00:00,livraison pas rapide du tout,livraison
V000104,15064,chat,2026-08-16 00:00:00,personne ne repond au telephone,contact
V000105,60073,enquete,2025-11-04 00:00:00,les prix ont augmente,prix
V000106,58638,enquete,2025-04-29 00:00:00,delai de livraison beaucoup trop long,livraison
V000107,61884,reclamation,2026-08-12 00:00:00,la qualite n est pas au rendez vous,produit
